"","speaker","dialogue","norm.dialogue","length"
"1","VLADIMIR","I'm beginning to come round to that opinion. All my life I've tried to put it from me, saying Vladimir, be reasonable, you haven't yet tried everything. And I resumed the struggle. So there you are again.","im beginning to come round to that opinion all my life ive tried to put it from me saying vladimir be reasonable you havent yet tried everything and i resumed the struggle so there you are again",37
"2","ESTRAGON","Am I?","am i",2
"3","VLADIMIR","I'm glad to see you back. I thought you were gone forever.","im glad to see you back i thought you were gone forever",12
"4","ESTRAGON","Me too.","me too",2
"5","VLADIMIR","Together again at last! We'll have to celebrate this. but how? Get up till I embrace you.","together again at last well have to celebrate this but how get up till i embrace you",17
"6","ESTRAGON","Not now, not now.","not now not now",4
"7","VLADIMIR","May one inquire where His Highness spent the night?","may one inquire where his highness spent the night",9
"8","ESTRAGON","In a ditch.","in a ditch",3
"9","VLADIMIR","A ditch! Where?","a ditch where",3
"10","ESTRAGON","Over there.","over there",2
"11","VLADIMIR","And they didn't beat you?","and they didnt beat you",5
"12","ESTRAGON","beat me? Certainly they beat me.","beat me certainly they beat me",6
"13","VLADIMIR","The same lot as usual?","the same lot as usual",5
"14","ESTRAGON","The same? I don't know.","the same i dont know",5
"15","VLADIMIR","When I think of it all these years but for me where would you be You'd be nothing more than a little heap of bones at the present minute, no doubt about it.","when i think of it all these years but for me where would you be youd be nothing more than a little heap of bones at the present minute no doubt about it",33
"16","ESTRAGON","And what of it?","and what of it",4
"17","VLADIMIR","It's too much for one man. On the other hand what's the good of losing heart now, that's what I say. We should have thought of it a million years ago, in the nineties.","its too much for one man on the other hand whats the good of losing heart now thats what i say we should have thought of it a million years ago in the nineties",34
"18","ESTRAGON","Ah stop blathering and help me off with this bloody thing.","ah stop blathering and help me off with this bloody thing",11
"19","VLADIMIR","Hand in hand from the top of the Eiffel Tower, among the first. We were respectable in those days. Now it's too late. They wouldn't even let us up. What are you doing?","hand in hand from the top of the eiffel tower among the first we were respectable in those days now its too late they wouldnt even let us up what are you doing",33
"20","ESTRAGON","Taking off my boot. Did that never happen to you?","taking off my boot did that never happen to you",10
"21","VLADIMIR","boots must be taken off every day, I'm tired telling you that. Why don't you listen to me?","boots must be taken off every day im tired telling you that why dont you listen to me",18
"22","ESTRAGON","Help me!","help me",2
"23","VLADIMIR","It hurts?","it hurts",2
"24","ESTRAGON","Hurts! He wants to know if it hurts!","hurts he wants to know if it hurts",8
"25","VLADIMIR","No one ever suffers but you. I don't count. I'd like to hear what you'd say if you had what I have.","no one ever suffers but you i dont count id like to hear what youd say if you had what i have",22
